ID	Disease	Item Type	Item Barcode	Item UUID	Classification	Category	Annotator	Date Created	Annotation
28763	STAD	Patient	TCGA-HU-A4H6	416fd59b-a4f8-4610-9f8b-473cb5c04a4a	Notification	Neoadjuvant therapy	LeraasK	08/04/2015	Dates on Enrollment and Pharmaceutical forms are inconsistent. Neoadjuvant therapy prior to TCGA procurement can not be verified as TSS is non-responsive.	
28946	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'bcgsc.ca.TCGA-CD-8527-01A-11R-2343-13.bcgsc.ca.v2.snv.vcf'.	
28947	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'bcgsc.ca.TCGA-CD-8527-01A-11R-2343-13.bcgsc.ca.v2.indel.vcf'.	
28916	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'TCGA-CD-8527-01A-11R-2343-13.v2.exon.quantification.txt'.	
28917	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'TCGA-CD-8527-01A-11R-2343-13.v2.gene.quantification.txt'.	
28918	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'TCGA-CD-8527-01A-11R-2343-13.v2.spljxn.quantification.txt'.	
28899	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'bcgsc.ca.TCGA-CD-8527-01A-11R-2343-13.bcgsc.ca.1.2.0.snv.vcf'.	
28888	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'bcgsc.ca.TCGA-CD-8527-01A-11R-2343-13.bcgsc.ca.1.1.0.sv.fa'.	
28877	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'bcgsc.ca.TCGA-CD-8527-01A-11R-2343-13.bcgsc.ca.1.1.0.sv.vcf'.	
28850	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'TCGA-CD-8527-01A-11R-2343-13.exon.quantification.txt'.	
28851	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'TCGA-CD-8527-01A-11R-2343-13.gene.quantification.txt'.	
28852	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'TCGA-CD-8527-01A-11R-2343-13.spljxn.quantification.txt'.	
28837	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	08/25/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.14.0 flagged aliquot to be excluded for analysis based on file 'bcgsc.ca.TCGA-CD-8527-01A-11R-2343-13.bcgsc.ca.1.0.0.indel.vcf'.	
28684	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	07/08/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.13.0 flagged aliquot to be excluded for analysis based on file 'bcgsc.ca.TCGA-CD-8527-01A-11R-2343-13.bcgsc.ca.v2.snv.vcf'.	
28685	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	07/08/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.13.0 flagged aliquot to be excluded for analysis based on file 'bcgsc.ca.TCGA-CD-8527-01A-11R-2343-13.bcgsc.ca.v2.indel.vcf'.	
28654	STAD	Aliquot	TCGA-CD-8527-01A-11R-2343-13	TCGA-uuid	CenterNotification	Item flagged DNU	DCC	07/08/2015	SDRF in bcgsc.ca_STAD.IlluminaHiSeq_RNASeq.mage-tab.1.13.0 flagged aliquot to be excluded for analysis based on file 'TCGA-CD-8527-01A-11R-2343-13.v2.exon.quantification.txt'.	
